State,Action,reward,expected
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([0., 1., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor([ 0.,  0., -1.,  1.,  0.,  0.,  0.,  0.,  0.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0298, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  1., -1.,  0.,  0.,  0.,  1.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([0., 0., 0., 1., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0253, device='cuda:0')"
"tensor([-1.,  0.,  0.,  0.,  0.,  0.,  0.,  0.,  1.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([0., 0., 0., 1., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(1., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0374, device='cuda:0')"
"tensor([ 0.,  0.,  0., -1.,  0.,  0.,  1.,  0.,  1.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0792, device='cuda:0')"
"tensor([1., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0229, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0452, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([ 1.,  0.,  0.,  0.,  0., -1.,  1.,  0., -1.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0259, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([ 1.,  0.,  0.,  0.,  0.,  0., -1.,  0.,  0.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0514, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor([0., 1., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0162, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0365, device='cuda:0')"
"tensor([ 1.,  0.,  1., -1.,  0., -1.,  1.,  0., -1.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([ 0.,  0.,  1.,  0.,  0.,  0.,  0.,  0., -1.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0248, device='cuda:0')"
"tensor([ 0., -1.,  1., -1.,  1.,  0.,  0.,  1., -1.], device='cuda:0')","tensor(1., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([ 0.,  0.,  0.,  1.,  0.,  1., -1.,  0., -1.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([-1.,  0.,  0.,  0.,  0.,  1.,  0.,  0.,  0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0725, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  1.,  0.,  0.,  0., -1.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0252, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0486, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0314, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([-1.,  1.,  0.,  0.,  0.,  0.,  0.,  0.,  0.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0707, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0249, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  0.,  0.,  0., -1.,  1.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0687, device='cuda:0')"
"tensor([0., 0., 0., 1., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0357, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0365, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0452, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(3., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0081, device='cuda:0')"
"tensor([ 0.,  1.,  0., -1.,  0.,  0.,  0.,  0.,  0.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0420, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor([ 0., -1.,  0.,  0.,  0.,  0.,  0.,  0.,  1.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0371, device='cuda:0')"
"tensor([ 0.,  1.,  0.,  0., -1.,  0.,  0.,  0.,  1.], device='cuda:0')","tensor(8., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([ 0., -1.,  0.,  0.,  1.,  1.,  0.,  0.,  0.], device='cuda:0')","tensor(1., device='cuda:0')","tensor(-10., device='cuda:0')","tensor(-10., device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(5., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0249, device='cuda:0')"
"tensor([-1.,  1.,  0.,  1.,  0., -1.,  0.,  0.,  0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0750, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 1., 0., 0.], device='cuda:0')","tensor(2., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0569, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0436, device='cuda:0')"
"tensor([ 0.,  0., -1.,  1.,  0.,  1.,  0.,  0., -1.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1178, device='cuda:0')"
"tensor([ 0.,  0.,  0.,  0.,  1.,  0.,  0.,  0., -1.], device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0546, device='cuda:0')"
"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0.], device='cuda:0')","tensor(7., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0452, device='cuda:0')"
"tensor([ 1., -1.,  0.,  0.,  0.,  1.,  0.,  0.,  0.], device='cuda:0')","tensor(4., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0643, device='cuda:0')"
